トラッカー,ステータス,担当者,実開始日,実終了日,機能ID,発生機能ID,問題分類
不具合管理,再発,dave,01/21/2026,,,AUTH001,再現不可
不具合管理,却下,dave,03/28/2026,,PAY001,PAY001,環境起因
課題管理,解決,carol,02/27/2026,03/16/2026,,EXP001,仕様漏れ
不具合管理,新規,ellen,03/25/2026,,USER010,USER010,実装ミス
課題管理,再発,carol,01/18/2026,02/08/2026,AUTH003,AUTH003,設計不備
不具合管理,新規,bob,04/19/2026,05/16/2026,,SEARCH01,性能問題
不具合管理,却下,bob,02/01/2026,,,AUTH002,実装ミス
タスク,新規,dave,02/24/2026,03/24/2026,,USER020,性能問題
不具合管理,解決,bob,01/14/2026,02/13/2026,,EXP001,環境起因
不具合管理,新規,ellen,02/22/2026,03/14/2026,,AUTH001,設計不備
不具合管理,対応中,dave,02/21/2026,03/18/2026,AUTH002,AUTH002,実装ミス
不具合管理,却下,alice,02/07/2026,03/05/2026,USER010,USER010,再現不可
不具合管理,却下,alice,03/10/2026,,AUTH003,AUTH003,セキュリティ起因
不具合管理,却下,dave,12/30/2025,01/06/2026,PAY001,PAY001,仕様漏れ
タスク,新規,dave,03/16/2026,03/18/2026,NOTIFY01,NOTIFY01,性能問題
不具合管理,新規,alice,02/11/2026,02/19/2026,PAY001,PAY001,実装ミス
不具合管理,解決,ellen,03/21/2026,,,CART002,実装ミス
不具合管理,解決,dave,03/25/2026,04/15/2026,,EXP001,設計不備
不具合管理,却下,alice,01/18/2026,02/05/2026,IMP001,IMP001,仕様漏れ
不具合管理,再発,carol,12/30/2025,01/22/2026,,AUTH001,設計不備
課題管理,却下,bob,03/16/2026,04/10/2026,,ORD001,性能問題
不具合管理,却下,bob,01/08/2026,01/11/2026,USER010,USER010,設計不備
タスク,新規,dave,01/26/2026,01/28/2026,IMP001,IMP001,再現不可
課題管理,再発,ellen,12/31/2025,01/12/2026,USER010,USER010,環境起因
タスク,却下,alice,02/17/2026,03/17/2026,AUTH003,AUTH003,再現不可
不具合管理,解決,alice,03/21/2026,,USER020,USER020,再現不可
不具合管理,対応中,carol,04/11/2026,05/04/2026,EXP001,EXP001,環境起因
不具合管理,却下,carol,02/07/2026,,NOTIFY01,NOTIFY01,実装ミス
課題管理,対応中,ellen,03/24/2026,,,CART001,再現不可
不具合管理,解決,bob,02/06/2026,02/28/2026,,USER020,再現不可
不具合管理,新規,dave,12/31/2025,01/23/2026,USER020,USER020,実装ミス
課題管理,再発,dave,02/23/2026,02/28/2026,ORD010,ORD010,仕様漏れ
不具合管理,再発,ellen,01/13/2026,01/16/2026,USER020,USER020,仕様漏れ
課題管理,却下,dave,01/22/2026,02/11/2026,AUTH001,AUTH001,環境起因
不具合管理,対応中,bob,12/26/2025,01/15/2026,CART001,CART001,実装ミス
課題管理,対応中,carol,02/15/2026,03/09/2026,NOTIFY01,NOTIFY01,実装ミス
課題管理,新規,alice,02/19/2026,03/17/2026,,ORD010,性能問題
課題管理,解決,bob,01/09/2026,01/20/2026,,AUTH001,再現不可
不具合管理,新規,carol,03/07/2026,03/22/2026,,IMP001,性能問題
不具合管理,対応中,carol,01/25/2026,,EXP001,EXP001,実装ミス
不具合管理,新規,carol,12/27/2025,01/05/2026,,AUTH001,実装ミス
タスク,対応中,bob,03/15/2026,03/27/2026,,NOTIFY02,環境起因
課題管理,新規,alice,02/13/2026,02/27/2026,NOTIFY02,NOTIFY02,実装ミス
不具合管理,対応中,bob,04/09/2026,05/03/2026,,AUTH002,仕様漏れ
課題管理,却下,bob,01/17/2026,02/10/2026,,USER010,仕様漏れ
不具合管理,対応中,carol,01/06/2026,01/27/2026,NOTIFY02,NOTIFY02,実装ミス
不具合管理,解決,alice,02/18/2026,02/22/2026,,NOTIFY01,実装ミス
タスク,解決,bob,02/04/2026,,NOTIFY01,NOTIFY01,実装ミス
不具合管理,解決,carol,01/01/2026,01/08/2026,,AUTH001,設計不備
課題管理,解決,ellen,02/24/2026,,AUTH002,AUTH002,設計不備
不具合管理,新規,ellen,04/09/2026,05/05/2026,CART001,CART001,仕様漏れ
タスク,新規,dave,03/02/2026,03/08/2026,AUTH003,AUTH003,実装ミス
タスク,対応中,bob,03/06/2026,03/09/2026,,EXP001,再現不可
課題管理,再発,ellen,03/25/2026,,,EXP001,実装ミス
不具合管理,新規,dave,12/30/2025,,IMP001,IMP001,仕様漏れ
不具合管理,新規,bob,01/29/2026,02/09/2026,PAY001,PAY001,設計不備
